Temperature,Pressure,Altitude,Day,Month,Year,Hour,Minute,Second,Latitude,Longitude,Operator Id,Message Counter,Step Counter,Flags,Position Estimation Inertial Magnetic X,Position Estimation Inertial Magnetic Y,Position Estimation Inertial X,Position Estimation Inertial Y,Position Estimation Inertial Z,Altitude Estimation Pressometer,Latitude Estimation GPS,Longitude Estimation GPS,GPS Estimation Quality,North Alignment Angle Inertial Path,Yaw Drift Inertial Path,CRC-CCITT,thesia_string
15.98,100963.19,30.16,19,9,2024,2,34,51,47.614858999999996,-122.177815,89,20,9,0049,-0.2,0.5,-0.2,0.5,-1.3,1.5,0.0,0.0,0,0.0,0.0,BB9F,59001400090049FFFFE00005FFFFE00005FFF3000F00000000000000000000000000BB9F
16.01,100962.61,30.21,19,9,2024,2,34,52,47.614875999999995,-122.17783899999999,89,21,9,0049,-0.2,0.5,-0.2,0.5,-1.3,6548.2,0.0,0.0,0,0.0,0.0,8FCA,59001500090049FFFFE00005FFFFE00005FFF3FFCA000000000000000000000000008FCA
16.02,100962.72,30.2,19,9,2024,2,34,53,47.614875,-122.17783999999999,89,22,9,0049,-0.2,0.5,-0.2,0.5,-1.3,6546.4,0.0,0.0,0,0.0,0.0,E2EA,59001600090049FFFFE00005FFFFE00005FFF3FFB800000000000000000000000000E2EA
16.04,100962.73,30.2,19,9,2024,2,34,54,47.614871,-122.177842,89,23,10,0049,-1.2000000000000002,1.0,-1.2000000000000002,1.0,-1.7000000000000002,6546.4,0.0,0.0,0,0.0,0.0,354C,590017000A0049FFFF40000AFFFF40000AFFEFFFB800000000000000000000000000354C
16.07,100961.48,30.3,19,9,2024,2,34,55,47.614864999999995,-122.177855,89,24,12,0049,-2.1,0.8,-2.1,0.8,-2.1,6549.0,0.0,0.0,0,0.0,0.0,8BA1,590018000C0049FFFEB00008FFFEB00008FFEBFFD2000000000000000000000000008BA1
16.1,100960.89,30.35,19,9,2024,2,34,56,47.614864,-122.17786,89,25,13,0049,-3.0,0.0,-3.0,0.0,-2.8000000000000003,6548.2,0.0,0.0,0,0.0,0.0,8100,590019000D0049FFFE200000FFFE200000FFE4FFCA000000000000000000000000008100
16.12,100960.48,30.39,19,9,2024,2,34,57,47.614866,-122.177849,89,26,14,0049,-3.6,-1.2000000000000002,-3.6,-1.2000000000000002,-3.5,6542.9,0.0,0.0,0,0.0,0.0,829A,59001A000E0049FFFDCFFFF4FFFDCFFFF4FFDDFF9500000000000000000000000000829A
16.15,100959.89,30.44,19,9,2024,2,34,58,47.614861999999995,-122.17786699999999,89,27,15,0049,-3.6,-1.2000000000000002,-3.6,-1.2000000000000002,-3.5,6537.8,0.0,0.0,0,0.0,0.0,E802,59001B000F0049FFFDCFFFF4FFFDCFFFF4FFDDFF6200000000000000000000000000E802
16.18,100959.52,30.47,19,9,2024,2,34,59,47.614861999999995,-122.17787899999999,89,28,16,0049,-3.6,-2.6,-3.6,-2.6,-4.5,6537.7,0.0,0.0,0,0.0,0.0,3B19,59001C00100049FFFDCFFFE6FFFDCFFFE6FFD3FF61000000000000000000000000003B19
16.21,100960.04,30.42,19,9,2024,2,35,0,47.614861,-122.177887,89,29,18,0049,-3.5,-3.9000000000000004,-3.5,-3.9000000000000004,-4.6000000000000005,6539.4,0.0,0.0,0,0.0,0.0,39B7,59001D00120049FFFDDFFFD9FFFDDFFFD9FFD2FF720000000000000000000000000039B7
