-47.615412,-122.177589
-47.615412,-122.177589
-47.615412,-122.177589
-47.615412,-122.177589
-47.615412,-122.177589
-47.615412,-122.177589
-47.615412,-122.177589
-47.61540666957235,-122.1775965958594
-47.61540666957235,-122.1775965958594
-47.61540666957235,-122.17759532988282
-47.61540666957235,-122.17759532988282
-47.615414132171054,-122.17760039378909
-47.61542585911187,-122.17760419171879
-47.61542585911187,-122.17760419171879
-47.61542585911187,-122.17760419171879
-47.61544185039481,-122.17762444734383
-47.61544185039481,-122.17762444734383
-47.61544185039481,-122.17762444734383
-47.61544291648034,-122.17766749054707
-47.61544291648034,-122.17766749054707
-47.61544291648034,-122.17766749054707
-47.61544291648034,-122.17769660800808
-47.61544185039481,-122.17771179972686
-47.61544078430928,-122.17772699144565
-47.61544078430928,-122.17772699144565
-47.61543438779611,-122.17775610890666
-47.61543438779611,-122.17775610890666
-47.61543438779611,-122.17775610890666
-47.615415198256585,-122.17777763050827
-47.61540240523024,-122.17778396039111
-47.61539067828942,-122.17778649234424
-47.61537788526307,-122.1777877583208
-47.61536509223672,-122.17778649234424
-47.6153533652959,-122.17778396039111
-47.6153533652959,-122.17778396039111
-47.61534163835509,-122.17778142843798
-47.61534163835509,-122.17778142843798
-47.61533310967086,-122.17777763050827
-47.61532244881557,-122.17777383257858
-47.61532244881557,-122.17777383257858
-47.61529686276287,-122.17776750269576
-47.615284069736525,-122.17776370476606
-47.615284069736525,-122.17776370476606
-47.615271276710175,-122.17776117281292
-47.6152574175983,-122.17775864085979
-47.61524355848642,-122.17775737488323
-47.61524355848642,-122.17775737488323
-47.615216906348195,-122.17774977902384
-47.615216906348195,-122.17774977902384
-47.61519025420997,-122.17774471511757
-47.615176395098096,-122.177743449141
-47.615176395098096,-122.177743449141
-47.61516253598622,-122.17773965121131
-47.61514867687434,-122.17773711925818
-47.61513481776247,-122.17773332132849
-47.61512095865059,-122.17773078937535
-47.61510709953871,-122.17772825742222
-47.61509324042684,-122.17772572546909
-47.61508044740049,-122.17772319351596
-47.61506658828861,-122.17772319351596
-47.61506658828861,-122.17772319351596
-47.61505272917674,-122.1777219275394
-47.61503887006486,-122.17771939558627
-47.61503887006486,-122.17771939558627
