89:0,47.61522666894797,-122.17756687189758,0,-1.31,0
89:1,47.61522666894797,-122.17756687189758,0,-1.55,0
89:2,47.61522666894797,-122.17756687189758,0,-1.8,0
89:3,47.61522666894797,-122.17756687189758,0,-1.6899999,0
89:4,47.61522666894797,-122.17756687189758,0,-0.89,0
89:5,47.61522666894797,-122.17756687189758,0,-1.04,0
89:6,47.61522666894797,-122.17756687189758,0,-1.11,0
89:7,47.61522666894797,-122.17755886733347,-0.03,-1.1,-0.016676925300405578
89:8,47.61522666894797,-122.17755886733347,-0.03,-1,-0.016676925300405578
89:9,47.61522666894797,-122.17755886733347,-0.03,-1.41,-0.016676925300405578
89:10,47.61523206487358,-122.17754686048812,-0.17999999,-0.96999997,-0.15335384419331183
89:11,47.61523206487358,-122.17754686048812,-0.17999999,-0.52,-0.15335384419331183
89:12,47.61522666894797,-122.17755753323999,-0.099999994,-0.66999996,-0.060030771952409
89:13,47.61522666894797,-122.17755753323999,-0.099999994,-0.74,-0.060030771952409
89:14,47.615228467589795,-122.17755486505143,-0.14999999,-1.0799999,-0.09670769494313458
89:15,47.61523566215696,-122.1775401900183,-0.14999999,-0.9,-0.09670769494313458
89:16,47.615244655365956,-122.17753485364118,-0.17999999,-0.78999996,-0.1133846221061853
89:17,47.615244655365956,-122.17753485364118,-0.17999999,-0.26,-0.1133846221061853
89:18,47.61525274925491,-122.17754152411258,-0.24,-0.14999999,-0.16006155046132892
89:19,47.61525274925491,-122.17754152411258,-0.24,0.11,-0.16006155046132892
89:20,47.61525095061268,-122.1775401900183,-0.24,-0.39999998,-0.16006155046132892
89:21,47.61525095061268,-122.1775401900183,-0.24,-0.39,-0.16006155046132892
89:22,47.61525095061268,-122.1775401900183,-0.24,-1.0699999,-0.16006155046132892
89:23,47.61524825265041,-122.1775401900183,-0.24,-1.23,-0.16006155046132892
89:24,47.61524825265041,-122.1775401900183,-0.24,-0.7,-0.16006155046132892
89:25,47.61524825265041,-122.1775401900183,-0.24,-0.69,-0.16006155046132892
89:26,47.61524825265041,-122.1775401900183,-0.24,-1.11,-0.16006155046132892
89:27,47.61525364857495,-122.17755619914651,-0.16,-1.54,-0.06673847822042608
89:28,47.61525364857495,-122.17755619914651,-0.16,-0.83,-0.06673847822042608
89:29,47.61525364857495,-122.17755619914651,-0.16,-1.0799999,-0.06673847822042608
89:30,47.61525364857495,-122.17755619914651,-0.16,-0.81,-0.06673847822042608
89:31,47.61525364857495,-122.17755619914651,-0.16,-0.45,-0.06673847822042608
89:32,47.61525364857495,-122.17755619914651,-0.16,-0.96,-0.06673847822042608
89:33,47.61525364857495,-122.17755619914651,-0.16,-1.04,-0.06673847822042608
89:34,47.61525364857495,-122.17755619914651,-0.16,-0.94,-0.06673847822042608
89:35,47.61525364857495,-122.17755619914651,-0.16,-1.01,-0.06673847822042608
89:36,47.615257245859404,-122.17755886733427,-0.16,-1.18,-0.06673847822042608
89:37,47.61526713838844,-122.17756153552244,-0.16,-0.56,-0.06673847822042608
89:38,47.61527882956185,-122.17755619914651,-0.17,-0.9,-0.06341540955580194
89:39,47.61528962141093,-122.17755086276938,-0.21,-0.9,-0.0900923271821095
89:40,47.61528962141093,-122.17755086276938,-0.21,-1.15,-0.0900923271821095
89:41,47.615298614619924,-122.1775401900183,-0.22999999,-1.22,-0.09676924898074218
89:42,47.61530760782892,-122.17752951726723,-0.21,-1.65,-0.06344617912402514
89:43,47.615318399677996,-122.17752017860884,-0.25,-1.73,-0.09012311165149389
89:44,47.61532469493115,-122.17751083994727,-0.64,-1.9,-0.466800023317337
89:45,47.61532469493115,-122.17751083994727,-0.64,-2.07,-0.466800023317337
89:46,47.6153300908514,-122.17750817176189,-1.0699999,-2.05,-0.8834768968362074
89:47,47.6153300908514,-122.17750817176189,-1.0699999,-2.22,-0.8834768968362074
